Name,Age,Education,Applied Job Role,Skills,Location,Status of Job Application,Experience
Naina Goud,22,High School,Teacher,"Retail, Computer Skills, Agriculture",Paderu,Accepted,4
Aditya Goud,45,Diploma,Farmer,Computer Skills,Maredumilli,Rejected,18
Aditya Rao,37,Intermediate,Teacher,"Electrical Work, Craftsmanship, Retail",Rampachodavaram,Accepted,7
Aisha Rao,37,Intermediate,Shopkeeper,"Retail, Agriculture, Computer Skills",Paderu,Accepted,6
Aarav Reddy,53,Intermediate,Electrician,"Agriculture, Driving",Chintur,Under Review,6
Aarav Naidu,48,Diploma,Clerk,Computer Skills,Maredumilli,Under Review,15
Vivaan Goud,47,Diploma,Farmer,"Retail, Craftsmanship, Agriculture",Seethampeta,Rejected,2
Aisha Naidu,60,Diploma,Shopkeeper,"Electrical Work, Agriculture",Paderu,Accepted,2
Vihaan Reddy,37,Diploma,Teacher,Craftsmanship,Paderu,Rejected,19
Aarav Naidu,48,Undergraduate,Shopkeeper,Technical Repair,Paderu,Rejected,2
Aarav Reddy,26,Intermediate,Weaver,Teaching,Paderu,Interview Scheduled,0
Aarav Naidu,54,Diploma,Teacher,"Agriculture, Driving",Maredumilli,Accepted,9
Naina Reddy,32,High School,Electrician,"Craftsmanship, Agriculture, Technical Repair",Chintur,Interview Scheduled,15
Aisha Goud,47,High School,Teacher,Driving,Araku Valley,Pending,0
Aarav Naidu,23,Intermediate,Electrician,"Teaching, Craftsmanship",Seethampeta,Interview Scheduled,17
Aditya Rao,36,Intermediate,Shopkeeper,Technical Repair,Maredumilli,Accepted,19
Ananya Goud,26,Diploma,Clerk,Teaching,Chintur,Interview Scheduled,5
Naina Reddy,19,Intermediate,Weaver,"Craftsmanship, Teaching, Driving",Chintur,Rejected,19
Aditya Naidu,46,Intermediate,Weaver,Agriculture,Rampachodavaram,Rejected,9
Vihaan Goud,27,Graduate,Weaver,Agriculture,Maredumilli,Pending,7
Aditi Goud,30,Diploma,Teacher,Craftsmanship,Paderu,Under Review,13
Siya Goud,40,Intermediate,Mechanic,"Craftsmanship, Teaching",Maredumilli,Pending,18
Riya Prasad,49,Intermediate,Driver,"Computer Skills, Craftsmanship, Technical Repair",Araku Valley,Under Review,8
Aditya Reddy,21,Diploma,Mechanic,"Technical Repair, Teaching, Agriculture",Paderu,Accepted,14
Ananya Naidu,24,Graduate,Farmer,"Driving, Electrical Work, Agriculture",Seethampeta,Rejected,19
Aditi Goud,49,High School,Clerk,Technical Repair,Seethampeta,Pending,9
Ananya Goud,38,Graduate,Farmer,"Technical Repair, Driving",Paderu,Pending,16
Siya Goud,59,High School,Weaver,"Craftsmanship, Electrical Work, Driving",Paderu,Accepted,10
Aditi Prasad,33,Diploma,Teacher,Electrical Work,Seethampeta,Pending,9
Aarav Reddy,37,Diploma,Farmer,"Retail, Electrical Work",Chintur,Accepted,14
Aisha Reddy,31,Undergraduate,Mechanic,Driving,Rampachodavaram,Pending,9
Aditi Prasad,57,Graduate,Mechanic,"Teaching, Driving, Craftsmanship",Chintur,Pending,3
Riya Goud,37,Graduate,Electrician,"Electrical Work, Teaching",Maredumilli,Rejected,12
Naina Prasad,36,Intermediate,Farmer,"Agriculture, Driving",Araku Valley,Interview Scheduled,16
Ananya Reddy,24,Undergraduate,Clerk,Driving,Chintur,Under Review,4
Riya Prasad,26,Diploma,Teacher,Teaching,Araku Valley,Under Review,0
Naina Prasad,44,High School,Shopkeeper,"Driving, Computer Skills",Paderu,Rejected,14
Ananya Reddy,34,Graduate,Electrician,"Craftsmanship, Agriculture",Paderu,Pending,0
Aisha Prasad,35,High School,Farmer,"Craftsmanship, Driving, Electrical Work",Araku Valley,Pending,12
Aarav Goud,47,Diploma,Weaver,"Agriculture, Craftsmanship",Rampachodavaram,Interview Scheduled,2
Riya Prasad,20,Graduate,Mechanic,"Electrical Work, Retail",Chintur,Rejected,7
Naina Naidu,43,Undergraduate,Teacher,"Electrical Work, Teaching, Computer Skills",Rampachodavaram,Under Review,7
